입국자국가,국가코드,입국연월,입국자 수
일본,130,201701,154862
일본,130,201702,185032
일본,130,201703,274478
일본,130,201704,165748
일본,130,201705,159379
일본,130,201706,167785
일본,130,201707,170634
일본,130,201708,226735
일본,130,201709,219968
일본,130,201710,179661
일본,130,201711,213460
일본,130,201712,193705
일본,130,201801,167083
일본,130,201802,168241
일본,130,201803,294476
일본,130,201804,213853
일본,130,201805,227230
일본,130,201806,235293
일본,130,201807,230512
일본,130,201808,315025
일본,130,201809,247847
일본,130,201810,290468
일본,130,201811,299978
일본,130,201812,258521
일본,130,201901,206526
일본,130,201902,213200
일본,130,201903,375119
일본,130,201904,290092
일본,130,201905,286273
일본,130,201906,282476
일본,130,201907,274830
일본,130,201908,329652
일본,130,201909,251119
일본,130,201910,248541
일본,130,201911,258522
일본,130,201912,255356
일본,130,202001,203969
일본,130,202002,211199
일본,130,202003,8347
일본,130,202004,360
일본,130,202005,413
일본,130,202006,498
일본,130,202007,755
일본,130,202008,1275
일본,130,202009,794
일본,130,202010,927
일본,130,202011,1254
일본,130,202012,951
